N,K,eta,p,max_qfi,coeffs,combinations
3,2,0.8,0.0,11.100561385322663,"0.5974299011179739,3.149615482315592e-06,1.3552527156068805e-20,0.5670436323305916,3.127045724215361e-06,5.001455468230069e-06,6.5759774889919735e-18,0.0,4.8377262950077006e-17,0.5670441729912591","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.1,10.741559001136494,"0.5949452529544584,1.6075399220680722e-05,0.0,0.5683497364876416,1.603636723386328e-05,1.903072642835238e-05,9.47347670933132e-18,0.0,1.0518606131903653e-17,0.5683473775243716","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.2,10.416497570554919,"0.5925654572044475,1.6513344033104857e-05,1.7609563908236296e-06,0.5695920999984684,1.655004124568319e-05,0.0,7.342241911141985e-18,1.7652333088144956e-06,0.0,0.5695885064195382","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.3,10.126081926021982,"0.5903127326843404,1.2202444753852266e-05,3.726224911049242e-05,0.5707614827806107,1.218830219467434e-05,1.6263032587282567e-19,0.0,3.7259876469056285e-05,2.080862345984837e-17,0.5707559477535403","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.4,9.870980587722785,"0.5882227397289214,1.973011244321029e-06,4.5452440871389325e-06,0.5718357975008255,1.93180531203218e-06,7.046088875952089e-07,1.9391866730727068e-17,4.540712913689645e-06,0.0,0.5718373084645841","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.5,9.651880164360344,"0.5863388698050224,1.8938010539960683e-06,1.926436091569902e-06,0.5728046815853469,1.882055481768878e-06,2.4174831779670927e-06,8.30141440119206e-18,1.9202639809329164e-06,2.1202779664882097e-18,0.5728016417567507","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.6,9.46951022995728,"0.5847066474462852,1.6099825891791557e-05,0.00012041302529294031,0.5736373743045785,1.609699705566503e-05,0.0,0.0,0.00012037605525666762,0.0,0.5736367127737695","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.7,9.325120547757063,"0.5833127827221585,1.0923743716996398e-05,4.0873120389869975e-05,0.574327716334563,1.089270121404259e-05,0.0,0.0,4.092465575675745e-05,0.0,0.5743639782548428","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.8,9.218852517199569,"0.5822690938998668,4.234911964112453e-05,7.152734354951067e-05,0.5748640173622273,4.2327880830178466e-05,2.710505431213761e-20,7.263306457907486e-18,7.150438542710192e-05,0.0,0.574886311763098","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.9,9.15204747113911,"0.581540021346725,3.245355833802227e-05,0.00012140986284232938,0.5752492679367261,3.2474782510033964e-05,0.00019667034905072298,0.0,0.00012144668525683634,3.027847930776001e-18,0.5752387626874494","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
