N,K,eta_vec,p,max_qfi,total_variance,coeffs,combinations
3,2,"[np.float64(0.1), np.float64(0.1)]",0.1,3.372330057094967,1.6535422511904327,"2.4160240294559545e-05,0.310662045306433,1.3183377871855197e-05,0.6353001603100464,0.31020950801493075,0.0,0.0,1.134346522962959e-15,0.0,0.6353370513632958","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.1), np.float64(0.1)]",0.2,2.8118819782758377,0.3556337028815023,"0.0,0.0,3.975665218325993e-16,0.7071351610557748,3.075442033038831e-17,6.315583873119768e-17,5.264007044882209e-16,7.816067896620838e-18,0.0,0.707078527398254","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.1), np.float64(0.1)]",0.3,2.5259411406243153,2.824787936089762,"9.02516993431246e-16,0.2710154624568149,8.279780940728676e-16,0.6531106784501538,0.2710145739853017,9.135080929548178e-17,1.000366245867982e-15,7.095832168374505e-16,1.1912922271186237e-15,0.6531066799937592","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.1), np.float64(0.1)]",0.4,2.1291130817648494,4.105892597765317,"0.0,0.24396018320747823,0.0,0.6636837095009122,0.243956267933232,3.3956505165816702e-15,0.0,0.0,0.0,0.6636962886490946","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.1), np.float64(0.1)]",0.5,1.7468363989343723,6.778351448117604,"5.28517989798077e-07,0.2094782735918969,1.8198083218774509e-06,0.6753670227313489,0.20946870718415195,6.6777375667942254e-15,1.302344667501353e-14,1.8182401824481913e-06,1.3800276342432872e-14,0.6753673895227561","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.1), np.float64(0.1)]",0.6,1.3720131958918327,0.7288559636264885,"0.0,1.307554865772729e-15,5.272074696271056e-15,0.7070808746647768,1.4223806482026474e-15,0.0,0.0,5.417703602197887e-15,0.0,0.7071326917865944","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.1), np.float64(0.1)]",0.7,1.0179540387334887,15.316074230982158,"0.07470166425831712,0.16225399086571873,0.22287994761191848,0.6487766810692246,0.162665983153297,5.6891534333105565e-15,9.488330086277271e-15,0.22368229055370634,1.0310352111824124e-14,0.6488548995468606","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.1), np.float64(0.1)]",0.8,0.5460578219955274,53.402073413178755,"0.00933086971636088,0.04891338044261705,0.17939985639055564,0.44200847668590293,0.04889680139764197,0.1678563999264651,0.5058741587138508,0.1794268129530153,0.5058801945866098,0.4420191952172166","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.1), np.float64(0.1)]",0.9,0.5915125725758362,12.395253410558748,"0.045891973620668415,0.1476715333892215,0.286721067862219,0.32357016361926055,0.14767186650089667,0.3616814274693843,0.47415903671240905,0.2867206488150791,0.47415872462895986,0.3235706784822579","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[np.float64(0.1), np.float64(0.1)]",1.0,0.6673076225468407,7.692639844831963,"0.0728099444075218,0.19994711607787,0.317218374814095,0.2765839543545265,0.1999470834402042,0.42575416820226863,0.4354444191594099,0.31721840863686995,0.43544234826790923,0.2765851329194609","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
